eng;meaning;ir;score
hit;go somewhere for fun;tabhair faoi;0
hit;go somewhere for fun;aghaidh a thabhairt ar;0
hit;drink lots of (alcohol);téigh ar;0
hit;drink lots of (alcohol);luigh isteach ar;0
hit;affect adversely;buail;0
hit;affect adversely;cuir isteach ar;0
hit;total, level, etc;sroich;0
hit;total, level, etc;bain amach;0
hit;place;sroich;0
hit;place;bain amach;0
hit;place;tar chomh fada le;0
hit;start out along;brúigh;0
hit;assassinate;maraigh;0
hold;keep grip on;beir ar;0
hold;keep grip on;greim a bhreith ar;0
hold;keep grip on;greim a choinneáil ar;0
hold;put, keep in particular position;coinnigh;0
hold;put, keep in particular position;coimeád;0
hold;store information;coinnigh;0
hold;store information;coimeád;0
hold;grip part of body;greim a bheith agat ar;0
hold;grip part of body;beir ar;0
hold;grip part of body;greim a choinneáil ar;0
hold;button, switch, etc;coinnigh;0
hold;button, switch, etc;coimeád;0
hold;embrace;do dhá lámh a chur timpeall ar;0
hold;embrace;barróg a bhreith ar;0
hold;embrace;croí isteach a thabhairt do;0
hold;not collapse;seas;0
hold;support weight;tóg;0
hold;organise, conduct;eagraigh;0
hold;organise, conduct;rith;0
hold;organise, conduct;reáchtáil;0
hold;consider, believe;bheith den tuairim;0
hold;consider, believe;meas;0
hold;consider, believe;creid;0
hold;consider, believe;ceap;0
hold;consider, maintain;creid;0
hold;consider, maintain;ceap;0
hold;own (money, property);bheith agat;0
hold;own (money, property);bheith i do sheilbh;0
hold;as prisoner etc;coinnigh;0
hold;as prisoner etc;coimeád;0
hold;delay, keep reservation;coinnigh;0
hold;delay, keep reservation;coimeád;0
hold;interest, attention;coinnigh;0
hold;interest, attention;coimeád;0
hold;keep (at particular level);coinnigh;0
hold;keep (at particular level);coimeád;0
hold;keep going in same direction;coinnigh;0
hold;keep going in same direction;coimeád;0
hold;keep going in same direction;lean;0
hold;note;coinnigh;0
hold;note;coimeád;0
hold;on telephone;fan;0
hold;keep control of;coinnigh;0
hold;keep control of;coimeád;0
hop;jump on one foot;hapáil;0
hop;jump on one foot;preab ar leathchos;0
hop;jump on one foot;léim ar leathchos;0
hop;jump on both feet;peab;0
hop;jump on both feet;léim;0
hop;of animal;peab;0
hop;of animal;léim;0
hop;get in or out of vehicle;léim;0
hop;move between things;léim;0
hop;move between things;athraigh;0
hop;bounce a ball;preab;0
hop;throw in ball;caith isteach;0
hop;jump onto vehicle;léim ar;0
hurt;feel pain;bheith tinn;0
hurt;feel pain;bheith nimhneach;0
hurt;cause pain;gortaigh;0
hurt;cause pain;goin;0
hurt;cause pain;bheith pianmhar;0
hurt;cause pain;bheith nimhneach;0
hurt;cause injury to;gortaigh;0
hurt;cause injury to;goin;0
hurt;distress, offend;goill ar;0
hurt;distress, offend;gortaigh;0
hurt;distress, offend;goin;0
hurt;damage, hinder;dochar a dhéanamh do;0
hurt;damage, hinder;díobháil a dhéanamh do;0
invite;ask sb;cuireadh a thabhairt do;0
invite;ask for, encourage sth;iarr;0
invite;ask for, encourage sth;lorg;0
invite;provoke emotion, state;spreag;0
jump;spring off the ground;léim;0
jump;go over sth;léim;0
jump;go over sth;léim thar;0
jump;of horse;léim;0
jump;from height;léim;0
jump;move suddenly;léim;0
jump;move suddenly;preab;0
jump;startle;preab;0
jump;startle;léim;0
jump;startle;geit;0
jump;of heart;léim;0
jump;of heart;preab;0
jump;of heart;geit;0
jump;bounce suddenly;preab;0
jump;jerk out of position;léim;0
jump;jerk out of position;preab;0
jump;skip, pass over;léim;0
jump;skip, pass over;téigh ar aghaidh;0
jump;skip, pass over;léim thar;0
jump;change focus;léim;0
jump;change focus;preab;0
jump;increase;ardaigh go tobann;0
jump;increase;ardaigh de phreab;0
jump;obey immediately;preab;0
jump;obey immediately;léim;0
jump;obey immediately;bíog;0
jump;attack;léim ar;0
jump;attack;ionsaigh;0
jump;attack;fogha a thabhairt faoi;0
jump;convert;tiontaigh;0
jump;convert;iompaigh;0
jump;jump-start;preabthosaigh;0
jump;have sex with (sb);léim ar;0
kick;person;ciceáil;0
kick;person;cic a bhualadh ar;0
kick;person;cic a thabhairt do;0
kick;animal;speach;0
kick;animal;ciceáil;0
kick;animal;speach a thabhairt do;0
kick;animal;cic a thabhairt do;0
kick;animal;ciceáil;0
kick;animal;speach;0
kick;animal;rad;0
kick;ball;ciceáil;0
kick;ball;buail;0
kick;ball;cic a thabhairt do;0
laugh;laugh;bheith ag gáire;0
laugh;laugh;gáire a dhéanamh;0
learn;acquire knowledge, skills, etc;foghlaim;0
learn;memorise;foghlaim;0
learn;adapt behaviour;foghlaim;0
learn;teach;múin;0
let;allow sb to do sth;lig do;0
let;allow sth to happen;lig do;0
let;allow sb/sth to move somewhere;lig do;0
let;allow sb/sth to move somewhere;scaoil;0
let;rent out;lig;0
let;rent out;lig ar cíos;0
let;rent out;lig amach ar cíos;0
let;rent out;áit a ligean;0
let;rent out;áit a ligean ar cíos;0
like;appreciate, prefer thing;taitin le;0
like;appreciate, prefer thing;is maith le;0
like;enjoy activity;taitin le;0
like;enjoy activity;is maith le;0
like;approve of;taitin le;0
like;approve of;is maith le;0
like;do regularly;is maith le;0
listen;pay attention to sound;éist;0
listen;pay heed;éist;0
live;exist;mair;0
live;dwell;cuir fút;0
live;dwell;bheith i do chónaí;0
live;dwell;cónaí a bheith ort;0
live;live yout life;mair;0
live;remain alive;mair;0
live;subsist;mair;0
look;direct eyes towards;féach;0
look;direct eyes towards;breathnaigh;0
look;direct eyes towards;amharc;0
look;direct eyes towards;féach ar;0
look;direct eyes towards;breathnaigh ar;0
look;direct eyes towards;amharc ar;0
look;search;cuardaigh;0
look;search;lorg;0
look;hope to find;cuardaigh;0
look;hope to find;lorg;0
look;telling sb to look;féach;0
look;telling sb to look;breathnaigh;0
look;telling sb to look;amharc;0
look;telling sb to listen;féach;0
look;telling sb to listen;breathnaigh;0
look;telling sb to listen;amharc;0
look;telling sb to listen;éist;0
look;introducing suggestion;féach;0
look;introducing suggestion;breathnaigh;0
look;introducing suggestion;amharc;0
look;introducing suggestion;éist;0
look;when proving point;féach;0
look;when proving point;breathnaigh;0
look;when proving point;amharc;0
lose;cease to have;caill;0
lose;waste time, opportunity;caill;0
lose;waste time, opportunity;cuir amú;0
lose;evade pursuer;éalaigh ó;0
lose;evade pursuer;cor a thabhairt do;0
lose;be defeated;caill;0
lose;in election, vote;caill;0
lose;be unsuccessful in (case, claim);caill;0
lose;become separated from, not find;caill;0
lose;no longer see (place, trail etc);caill;0
lose;have less money;caill;0
lose;be bereaved of;caill;0
lose;miscarry (baby);caill;0
lose;of clock, watch;caill;0
love;spouse, partner, etc;grá a bheith agat do;0
love;spouse, partner, etc;grá a bheith agat ar;0
love;spouse, partner, etc;gráigh;0
love;spouse, partner, etc;grá a thabhairt do;0
love;family, friends, etc;grá a bheith agat do;0
love;family, friends, etc;cion a bheith agat ar;0
love;family, friends, etc;gean a bheith agat ar;0
love;in religious sense;gráigh;0
love;in religious sense;grá a bheith agat do;0
love;in religious sense;grá a thabhairt do;0
love;have strong attachment to;grá a bheith agat do;0
love;have strong attachment to;meas a bheith agat ar;0
make;prepare food, drink;réitigh;0
make;prepare food, drink;déan;0
make;create/produce sth new;déan;0
make;free time, space for sb/sth;déan;0
make;free time, space for sb/sth;fág;0
make;tidy bed;cóirigh;0
make;cause mess etc to form;déan;0
make;cause mess etc to form;fág;0
make;perform action: decision, deal, plan, etc;déan;0
make;put arrangement etc in place;déan;0
make;put arrangement etc in place;socraigh;0
make;earn, get money;déan;0
make;earn, get money;tuill;0
make;earn, get money;saothraigh;0
make;state (comment, point etc);déan;0
make;have the right qualities to be sth;déan;0
make;equal amount;déan;0
make;force or persuade sb to do sth;iallach a chur ar;0
make;force or persuade sb to do sth;cuir faoi deara do;0
make;force or persuade sb to do sth;tabhair ar;0
make;make success of sth;déan;0
make;make success of sth;barr feabhais a chur ar;0
make;make success of sth;cuir le;0
make;achieve success;bain amach;0
make;achieve success;sroich;0
make;complete (circuit);déan;0
mean;have as meaning;ciallaigh;0
mean;signify, indicate;ciallaigh;0
mix;combine;measc;0
mix;stir;measc;0
mix;stir;corraigh;0
mix;stir;suaith;0
mix;put together;measc;0
mix;put together;cuir le chéile;0
mix;go together;téigh le chéile;0
mix;socialise;measc le daoine;0
mix;combine pieces;measc;0
move;change position;bog;0
move;change position;corraigh;0
move;change position;gluais;0
move;shift body;bog;0
move;shift body;corraigh;0
move;set in motion;cuir ag bogadh;0
move;set in motion;cuir ag imeacht;0
move;change residence, base;bog;0
move;change residence, base;aistrigh;0
move;change residence, base;téigh a chónaí;0
move;time;imigh;0
move;change subject;téigh ar aghaidh;0
move;reschedule;athraigh;0
move;prompt;spreag;0
move;affect emotionally;corraigh;0
move;affect emotionally;téigh i bhfeidhm ar;0
move;formally propose;mol;0
move;by sale;díol;0
move;by sale;faigh réidh le;0
move;by sale;faigh réitithe le;0
move;travel fast;bog;0
move;travel fast;imigh;0
open;door, eye, etc;oscail;0
open;into particular place;oscail;0
open;to public;oscail;0
open;for trading, etc;oscail;0
open;commence, initiate;tús a chur le;0
open;begin;tosaigh;0
open;computer application etc;oscail;0
paint;surface;péinteáil;0
paint;create artwork;péinteáil;0
paint;depict in painting;péinteáil;0
paint;depict in painting;pictiúr a dhéanamh de;0
paint;nails;péinteáil;0
paint;face;péinteáil;0
paint;face;péint a chur ar;0
pay;give money for sth;íoc;0
pay;give money for sth;díol;0
pay;make money;airgead a dhéanamh;0
phone;phone;glaoigh ar;0
phone;phone;scairt ar;0
phone;phone;glao gutháin a chur ar;0
phone;phone;scairt ghutháin a chur ar;0
phone;phone;glaoigh;0
phone;phone;scairt;0
pick;choose;pioc;0
pick;choose;roghnaigh;0
pick;scrape, remove with fingers;pioc;0
pick;lift, gather;pioc;0
pick;harvest fruit, flowers, etc;bain;0
pick;harvest fruit, flowers, etc;pioc;0
pick;back into (lock);pioc;0
pick;provoke fight;tosaigh;0
pick;provoke fight;tóg;0
plant;put seed etc in soil;cuir;0
plant;put seed etc in soil;plandaigh;0
plant;create (garden, orchard etc);cuir;0
plant;create (garden, orchard etc);plandaigh;0
plant;use area for planting;cuir;0
plant;use area for planting;plandaigh;0
plant;in order to incriminate;cuir i bhfolach;0
plant;in order to incriminate;cuir faoi cheilt;0
plant;establish (community);lonnaigh;0
plant;establish (community);bunaigh;0
plant;infiltrate (spy);cuir faoi cheilt;0
plant;hide (bugging device etc);cuir;0
plant;place bomb;cuir;0
plant;place bomb;leag;0
plant;fix in sb's mind;neadaigh;0
play;with toys, friends, etc;bheith ag spraoi;0
play;with toys, friends, etc;bheith ag súgradh;0
play;children: game;imir;0
play;sport, game;imir;0
play;in particular position;imir;0
play;compete against sb;imir in aghaidh;0
play;compete against sb;imir in éadan;0
play;compete against sb;imir i gcoinne;0
play;kick, hit ball;imir;0
play;kick, hit ball;buail;0
play;piece, card;imir;0
play;stock market;bheith ag plé le;0
play;instrument, air;seinn;0
play;instrument, air;cas;0
play;instrument, air;buail;0
play;perform concert;déan;0
play;perform concert;seinn;0
play;perform concert;cas;0
play;CD, track, etc;cas;0
play;CD, track, etc;seinn;0
play;CD, track, etc;cuir ar siúl;0
play;CD, track, etc;bheith ar siúl;0
play;of play, film, etc;bheith ar siúl;0
play;behave as if you are sb/sth;lig ort féin;0
point;indicate way to sb;treoraigh;0
point;indicate way to sb;cuir;0
point;place cursor;pointeáil;0
point;mortar;pointeáil;0
point;score;cúilín a aimsiú;0
point;score;pointe a aimsiú;0
point;score;cúilín a fháil;0
point;score;pointe a fháil;0
point;score;cúilín a aimsiú ó;0
point;score;pointe a aimsiú ó;0
point;score;cúilín a fháil ó;0
point;score;pointe a fháil ó;0
practise;work on improving;cleacht;0
practise;work on improving;cleachtadh a dhéanamh ar;0
practise;work on improving;bheith ag cleachtadh;0
practise;work on improving;cleachtadh a dhéanamh;0
practise;profession, faith, lifestyle;cleacht;0
practise;regularly do activity;déan;0
put;place;cuir;0
put;assign;cuir;0
put;into situation;cuir;0
put;impose ban, tax, etc;cuir;0
put;entrust hope etc;cuir;0
put;combine (sth) with sth;cuir;0
put;express;abair;0
put;present opinion etc;cuir in iúl;0
put;present opinion etc;cuir i láthair;0
put;write, record;cuir;0
put;rank, position;cuir;0
put;add;cuir;0
put;attribute;cuir;0
put;throw (shot);caith;0
put;mate (animal) with;cuir le;0
put;mate (animal) with;cúpláil ;0
rain;if weather;bheith ag cur báistí;0
rain;if weather;bheith ag cur fearthainne;0
rain;if weather;bheith ag báisteach;0
rain;if weather;bheith ag cur;0
read;look at text, book, newspaper, etc;léigh;0
read;look at text, book, newspaper, etc;bheith ag léamh;0
read;decipher writing, print, etc;léigh;0
read;decipher writing, print, etc;déan amach;0
read;decipher lip movements;léigh;0
read;have ability to read;léigh;0
read;have ability to read;léamh a bheith agat;0
read;learn from reading;léigh;0
read;say printed words aloud;léigh;0
read;substitute as correction;léigh;0
read;interpret map, graph, instrument, etc;léigh;0
read;present in parliament;léigh;0
read;study;déan;0
read;study;staidéar a dhéanamh ar;0
read;situation, expression, meaning, etc;léigh;0
read;use data;léigh;0
read;hear over radio;clois;0
read;hear over radio;cluin;0
ride;bike;rothaigh;0
ride;bike;bheith ag rothaíocht;0
ride;motorbike;téigh ar ghluaisrothar;0
ride;motorbike;téigh ag gluaisrothaíocht;0
ride;race, compete etc;bheith ag marcaíocht;0
ride;race, compete etc;bheith ag rásaíocht;0
ride;in vehicle;taistil;0
ride;in vehicle;téigh i;0
ride;form of transport;taistil ar;0
ride;travel across;taistil;0
ride;fairground ride;téigh ar;0
ride;fairground ride;téigh ag marcaíocht ar;0
ride;have sex;téigh in airde ar;0
ride;have sex;craiceann a bhualadh le;0
ride;have sex;leathar a bhualadh le;0
ride;have sex;bheith ag bualadh craicinn;0
ride;have sex;bheith ag bualadh leathair;0
ride;nag at;bheith sa droim ar;0
ride;nag at;bheith anuas ar;0
run;move quickly on foot;rith;0
run;move quickly on foot;reáchtáil;0
run;as sport, activity;rith;0
run;take part in race;rith;0
run;manage event, business, etc;rith;0
run;manage event, business, etc;reáchtáil;0
run;manage event, business, etc;bheith i mbun;0
run;provide course, service, etc;reáchtáil;0
run;provide course, service, etc;cuir ar fáil;0
run;enter animal in race;rith;1
run;hurry;rith;5
run;of road, border, etc;téigh;0
run;of bus, train, etc;téigh;0
run;move smoothly;gluais;0
run;move smoothly;rith;0
run;of river etc;rith;0
run;of river etc;téigh;0
run;of river etc;snigh;0
run;trickle, spill;sil;0
run;trickle, spill;doirt;0
run;tap, pipe, etc;cas air;0
run;tap, pipe, etc;cuir air;0
run;tap, pipe, etc;cuir ar siúl;0
run;tap, pipe, etc;cuir ag dul;0
run;tap, pipe, etc;bheith ag dul;0
run;tap, pipe, etc;bheith ag rith;0
run;tap, pipe, etc;bheith casta air;0
run;of ink, paint, colour, etc;rith;0
run;carry out test, trial, etc;déan;0
run;carry out test, trial, etc;cuir i gcrích;0
run;happen in particular way;téigh;0
run;take place;bheith ar siúl;0
run;take place;bheith ann;0
run;of film, tape, etc;bheith ar siúl;0
run;of film, tape, etc;bheith ag gabháil;0
run;apply, be in force;mair;0
run;program, application, etc;rith;0
run;of engine, machine, etc;rith;0
run;of engine, machine, etc;bheith ar siúl;0
run;of engine, machine, etc;bheith air;0
run;of engine, machine, etc;bheith ag gabháil;0
run;of engine, machine, etc;bheith ag imeacht;0
run;of engine, machine, etc;oibrigh;0
run;of engine, machine, etc;cuir ag gabháil;0
run;of engine, machine, etc;cuir ar siúl;0
run;of engine, machine, etc;cas air;0
run;of vehicle;bheith ag gabháil;0
run;of vehicle;bheith ag imeacht;0
run;of vehicle;coinnigh ar an mbóthar;0
run;of vehicle;coinnigh ag gabháil;0
run;(of vehicle) move out of control;téigh;0
run;(of vehicle) move out of control;imigh;0
run;give sb lift somewhere;síob a thabhairt do;0
run;give sb lift somewhere;tabhair;0
run;pipe, cable, etc;cuir;0
run;pipe, cable, etc;téigh;0
run;of plant: grow somewhere;fás;0
run;hands, fingers, etc;cuimil;0
run;of feeling, thought, etc;téigh;0
run;of feeling, thought, etc;rith;0
run;stand as candidate;seas;0
run;stand as candidate;rith;0
run;reach level, amount;bheith;0
run;smuggle;smugláil;0
run;of stockings etc;rois;0
sail;of boat, ship;seol;0
sail;of sailoer;seol;0
sail;of sailoer;seoltóireacht a dhéanamh;0
sail;leave on a voyage;seol;0
sail;leave on a voyage;cuir chun farraige;0
sail;steer boat;seol;0
sail;move quickly and easily;imigh;0
sail;move quickly and easily;seol;0
sail;move quickly and easily;gluais;0
say;express in words;abair;0
say;recite prayer, poem, etc;abair;0
say;tell sb to do sth;abair;0
say;give opinion;abair;0
say;give opinion;síl;0
say;what people think;abair;0
say;mean, imply;abair;0
say;mean, imply;maígh;0
say;convey idea;cuir in iúl;0
say;give information;abair;0
say;show indirectly;inis;0
say;show indirectly;léirigh;0
score;get point in game;scóráil;0
score;get point in game;aimsigh;0
score;achieve mark, result;scóráil;0
score;judge (sb/sth) and award points;measúnaigh;0
score;judge (sb/sth) and award points;marcáil;0
score;judge (sb/sth) and award points;measúnú a dhéanamh ar;0
score;keep record of score;an scór a choinneáil;0
score;buy (illegal drugs);scóráil;0
score;cut surface;scríob;0
score;compose music for;cum;0
see;perceive with eyes;feic;0
see;have eyesight;radharc a bheith agat;0
see;have eyesight;radharc na súl a bheith agat;0
see;sth not really there;feic;0
see;sth not really there;feic;0
see;sth not really there;breathnaigh;0
see;sth not really there;amharc;0
see;film, play, etc;feic;0
see;refer to;féac;0
see;refer to;amharc;0
see;check, verify;feic;0
see;check, verify;féach ar;0
see;check, verify;breathnaigh ar;0
see;check, verify;amharc ar;0
see;notice;feic;0
see;make sure;féach chuige;0
see;make sure;déan cinnte de;0
see;meet, spend time with;feic;0
see;visit;feic;0
see;encounter;cas ar;0
see;encounter;cas le;0
see;encounter;buail le;0
see;consult professional;téigh chuig;0
see;give interview, consultation, etc to sb;feic;0
see;go out with;téigh amach le;0
see;go out with;siúil amach le;0
see;understand;tuig;0
see;view, consider;féach ar;0
see;view, consider;breathnaigh ar;0
see;view, consider;amharc ar;0
see;imagine;samhlaigh;0
see;find out, realise;feic;0
see;experience, witness;feic;0
see;accompany;téigh le;0
see;accompany;tionlaic;0
see;when betting;meaitseáil;0
send;transmit, communicate;cuir;0
send;transmit, communicate;seol;0
send;pass on;cuir;0
send;convey;cuir;0
send;dispatch;cuir;0
send;cause to become;cuir;0
send;cause to move;cuir;0
shop;go to shop to buy things;bheith ag siopadóireacht;0
shop;go to shop to buy things;téigh ag siopadóireacht;0
shop;inform on sb;sceith ar;0
shop;inform on sb;scéala a dhéanamh ar;0
shout;call, yell;glaoigh;0
shout;call, yell;béic;0
shout;call, yell;scairt;0
shout;call, yell;fógair;0
shout;speak angrily;béic;0
shout;speak angrily;scairt;0
shout;speak angrily;béic a ligean;0
shout;cry out in pain etc;béic;0
shout;cry out in pain etc;scairt;0
shout;cry out in pain etc;béic a ligean;0
show;express;léirigh;0
show;express;taispeáin;0
show;demonstrate;léirigh;0
show;demonstrate;taispeáin;0
show;prove;léirigh;0
show;indicate;léirigh;0
show;indicate;taispeáin;0
show;let sb see;taispeáin;0
show;depict;taispeáin;0
show;depict;léirigh;0
show;communicate;taispeáin;0
show;communicate;tabhair le fios;0
show;broadcast;taispeáin;0
show;present for inspection;taispeáin;0
show;exhibit;taispeáin;0
show;exhibit;cuir ar taispeáint;0
show;be visible;bheith le feiceáil;0
show;escort, guide;tabhair;0
show;escort, guide;treoraigh;0
show;expose;taispeáin;0
show;expose;nocht;0
show;display in competition;cuir ar taispeáint;0
show;display in competition;cuir i seó;0
show;be apparent;bheith le feiceáil;0
show;be apparent;bheith le haithint;0
show;turn up;tar;0
show;turn up;nocht;0
show;teach lesson to;ceacht a mhúineadh do;0
show;teach lesson to;múineadh a chur ar;0
show;teach lesson to;múin;0
sing;person;can;0
sing;person;cas;0
sing;person;ceol;0
sing;bird;can;0
sing;bird;cas;0
sing;bird;ceol;0
sing;bird;abair;0
sing;object;can;0
sing;object;ceiliúir;0
sing;object;ceol;0
sing;divulge information;sceith;0
sing;divulge information;rún a scaoileadh;0
sit;be in sitting position;suigh;0
sit;be in sitting position;bheith i do shuí;0
sit;bird: perch;seas;0
sit;make miss game;fág;0
sit;garment;suigh;0
sit;garment;luigh;0
sit;exam;déan;0
sit;exam;suigh;0
skate;move on ice skates;scátáil;0
skate;perform race, routine on skates;scátáil;0
skip;bounce along;léim thart;0
skip;bounce along;damhsaigh thart;0
skip;using rope;scipeáil;0
skip;jump over (sth) lightly;téigh de léim thar;0
skip;skim;scinn;0
skip;skim;cuir ag scinneadh;0
skip;jump between topics etc;léim thart;0
skip;omit, miss pages, heartbeat;léim thart;0
skip;go quickly, flee;ruaig a thabhairt;0
skip;go quickly, flee;sciuird a thabhairt;0
skip;be captain of;bheith i do chaptaen ar;0
sleep;be/fall asleep;codail;0
sleep;rest when dead;bheith i do chodladh;0
snow;of snow: fall;bheith ag cur sneachta;0
spell;word;litrigh;0
spell;put letters in correct order;litrigh;0
stand;be on feet;seas;0
stand;be on feet;bheith i do sheasamh;0
stand;rise, get up;seas suas;0
stand;step;seas;0
stand;in particular manner;seas;0
stand;place upright;cuir ina sheasamh;0
stand;be stopped;bheith;0
stand;remain unchanged;seas;0
stand;withstand, endure;cuir suas le;0
stand;withstand, endure;seas;0
stand;tolerate;cuir suas le;0
stand;tolerate;seas;0
stand;in election;seas;0
stand;in election;cuir chun cinn;0
stand;in election;rith;0
stand;not flow;seas;0
stand;not flow;bheith;0
stand;remain undisturbed;fág;0
stand;buy sth for sb;seas;0
stand;buy sth for sb;ceannaigh;0
start;begin;tosaigh;0
start;embark on;tosaigh;0
start;embark on;tosaigh ar;0
start;embark on;tús a chur le;0
start;begin taking medicine;tosaigh ar;0
start;set sth in progress;tosaigh ar;0
start;set sth in progress;tús a chur le;0
start;establish, found;bunaigh;0
start;establish, found;tús a chur le;0
start;prompt;cuir;0
start;begin journey;tosaigh;0
start;begin journey;tosaigh ar;0
start;begin journey;tabhair faoi;0
start;begin journey;tús a chur le;0
start;begin race, game, etc;tosaigh;0
start;begin extent, range;tosaigh;0
start;begin operating;tosaigh;0
start;begin operating;dúisigh;0
start;begin operating;cuir ar siúl;0
start;jump, startle;geit;0
stop;prevent;stop;4
stop;prevent;stad;4
stop;prevent;coisc;4
stop;prevent;bac;4
stop;cease doing sth;stop;5
stop;cease doing sth;stad;5
stop;cease doing sth;éirigh as;5
stop;cease doing sth;stop;5
stop;cease doing sth;stad;5
stop;cease doing sth;caith in aer;5
stop;sb doing sth;stop;0
stop;sb doing sth;stad;0
stop;sb doing sth;bac a chur le;0
stop;sb doing sth;stop a chur le;0
stop;sb doing sth;stad a chur le;0
stop;cease happening;stop;0
stop;cease happening;stad;0
stop;cease happening;deireadh a chur le;0
stop;cease happening;stop a chur le;0
stop;cease happening;stad a chur le;0
stop;cease moving;stop;0
stop;cease moving;stad;0
stop;bus, train, etc;stop;0
stop;bus, train, etc;stad;0
stop;stay, spend time;fan;0
stop;stay, spend time;stop;0
stop;payment, money;stad a chur le;0
stop;payment, money;bac a chur ar;0
stop;block, cover;líon;0
stop;block, cover;dún;0
stop;block, cover;druid;0
stop;block, cover;clúdaigh;0
swim;move through water;snámh;0
swim;cross sth by swimming;snámh;0
swim;of fish, animal;snámh;0
swim;be covered in liquid;bheith ar maos;0
swim;be covered in liquid;bheith báite;0
swim;be covered in liquid;bheith ar bogadh;0
swim;be covered in liquid;bheith ar snámh;0
take;take hold of;tóg;0
take;take hold of;glac;0
take;take hold of;beir ar;0
take;transport somewhere;tóg;0
take;transport somewhere;glac;0
take;transport somewhere;tabhair;0
take;remove;tóg;0
take;remove;bain;0
take;choose to have;tóg;0
take;choose to have;glac;0
take;rent;tóg ar cíos;0
take;rent;glac ar cíos;0
take;select for use;tóg;0
take;select for use;glac;0
take;carry with you;tabhair leat;0
take;carry with you;beir leat;0
take;carry with you;tóg;0
take;steal;tóg;0
take;steal;goid;0
take;accept call, order, etc;glac le;0
take;accept call, order, etc;tóg;0
take;effect (decision, action, steps);tóg;0
take;effect (decision, action, steps);glac;0
take;suffer;faigh;0
take;adopt (name, approach);tóg;0
take;adopt (name, approach);glac;0
take;record note, measurement, etc;tóg;0
take;record note, measurement, etc;glac;0
take;drink;tóg;0
take;drink;ól;0
take;eat;tóg;0
take;eat;glac;0
take;eat;caith;0
take;earn, make amount;tóg isteach;0
take;earn, make amount;déan;0
take;earn, make amount;tabhair isteach;0
take;wear (size);caith;0
take;wear (size);tóg;0
take;travel on train, bus, etc;tóg;0
take;travel on train, bus, etc;glac;0
take;travel on train, bus, etc;faigh;0
take;travel on train, bus, etc;téigh ar;0
take;accompany sb somewhere;tabhair;0
take;use route etc;tóg;0
take;use route etc;glac;0
take;lead to place;tabhair;0
take;of time: last, need;tóg;0
take;of time: last, need;glac;0
take;bear, tolerate;tóg;0
take;bear, tolerate;glac;0
take;bear, tolerate;cuir suas le;0
take;bear, tolerate;seas;0
take;bear, tolerate;fulaing;0
take;react, respond;tóg;0
take;react, respond;glac le;0
take;assume, interpret;glac le;0
take;assume, interpret;talamh slán a dhéanamh de;0
take;use as example;tóg;0
take;use as example;glac;0
take;subtract;bain;0
take;subtract;tóg;0
take;subtract;dealaigh;0
take;negotiate bend, fence;tóg;0
take;negotiate bend, fence;glac;0
take;negotiate bend, fence;cuir díot;0
take;negotiate bend, fence;sáraigh;0
take;deal with (items, steps);tabhair faoi;0
take;photo;tóg;0
take;photo;glac;0
take;sit exam, test;déan;0
take;do course, subject;déan;0
take;teach class, lesson;glac;0
take;teach class, lesson;tóg;0
take;attend lesson;tóg;0
take;attend lesson;déan;0
take;officiate at;tóg;0
take;officiate at;glac;0
take;officiate at;déan;0
take;capture by force;gabh;0
take;have sex with;cláraigh;0
take;win;buaigh;0
take;win;bain;0
take;win;gnóthaigh;0
take;win (piece etc) from opponent;gabh;0
take;win (piece etc) from opponent;tóg;0
take;dye, transplant: become fixed, work;tóg;0
take;fish: bite;prioc;0
take;fish: bite;freagair;0
take;fish: bite;éirigh;0
take;cheat sb;creach;0
take;cheat sb;bob a bhualadh ar;0
talk;speak;bheith ag caint;0
talk;speak;labhair;0
talk;speak in language, certain way;labhair;0
talk;discuss;pléigh;0
talk;discuss;labhair faoi;0
talk;mean, envisage;labhair ar;0
talk;give information;labhair;0
talk;gossip;bheith ag caint;0
talk;gossip;bheith ag cúlchaint;0
tell;give information;inis;0
tell;abair;abair;0
tell;contain information for (sb);inis;0
tell;contain information for (sb);eolas a thabhairt;0
tell;contain information for (sb);cuir ar an eolas;0
tell;express;inis;0
tell;relate;inis;0
tell;relate;eachtraigh;0
tell;relate;aithris;0
tell;disclose;nocht;0
tell;disclose;inis;0
tell;disclose;abair;0
tell;disclose;scaoil le rún;0
tell;inform non-verbally;léirigh;0
tell;order, advise;abair;0
tell;recognise, predict;aithin;0
tell;recognise, predict;déan amach;0
tell;recognise, predict;feic;0
tell;recognise, predict;fios a bheith ag duine;0
tell;distinguish;aithin;0
tell;count;comhair;0
tell;count;cuntais;0
text;text;téacsáil;0
text;text;téacs a chur chuig;0
text;text;téacs a sheoladh chuig;0
text;text;téacsáil;0
text;text;téacs a chur;0
text;text;téacs a sheoladh;0
think;believe, consider;ceap;0
think;believe, consider;meas;0
think;believe, consider;síl;0
think;reflect;smaoinigh;0
think;reflect;machnaigh;0
think;have words, thoughts in mind;smaoinigh;0
think;have words, thoughts in mind;ceap;0
think;have words, thoughts in mind;samhlaigh;0
think;have words, thoughts in mind;machnaigh;0
think;recall;smaoinigh;0
think;recall;cuimhnigh;0
think;consider;smaoinigh;0
think;consider;cuimhnigh;0
think;keep in mind;smaoinigh ar;0
